ambient,coolant,motor_speed,torque,stator_yoke,stator_tooth,stator_winding,profile_id
-0.59610987,-1.1001716,0.72955585,-0.31627208,-1.8296678,-2.0632231,-2.0186977,4
-0.6261409,-1.0973725,1.6865999,-0.3450365,-1.8213874,-2.0309422,-1.9883966,4
-0.8332485,-1.0951548,2.0241094,-0.26793548,-1.788288,-1.985813,-1.8560934,4
-0.8756346,-1.0931791,2.0241184,-0.26676327,-1.7550074,-1.8305458,-1.7307674,4
-0.7109573,-1.0911732,2.024118,-0.2659775,-1.7462944,-1.7303296,-1.5950071,4
-0.9141443,-1.0809578,2.0241175,-0.2667824,-1.6692392,-1.6538411,-1.4958969,4
-0.7488637,-1.0772476,2.0241199,-0.26487777,-1.5851263,-1.5354184,-1.3996038,4
-0.6987658,-1.0690986,2.0241158,-0.2679287,-1.548692,-1.4502566,-1.3076109,4
-0.90314627,-1.061866,2.024118,-0.2656608,-1.489662,-1.3822113,-1.2289023,4
-0.87207735,-1.0646975,2.0241203,-0.2677355,-1.444352,-1.3252871,-1.1694256,4
-0.9110849,-1.0440085,2.0241196,-0.26449305,-1.4096973,-1.2582209,-1.0893583,4
-0.94238263,-1.0498364,2.024119,-0.26559284,-1.3714334,-1.2062076,-1.0234971,4
-0.71217984,-1.0506372,2.0241165,-0.26703802,-1.3250229,-1.1429176,-0.9788984,4
-0.75568616,-1.0415882,2.0241187,-0.26612455,-1.2795057,-1.1014556,-0.9758949,4
-0.806316,-1.0540471,2.0241182,-0.26547298,-1.2376206,-1.0680844,-0.8637768,4
-0.9516311,-1.040124,2.0241175,-0.26462555,-1.2154347,-1.0679032,-0.8410958,4
-0.9514404,-1.0536729,2.0241172,-0.2646241,-1.1733128,-1.0093917,-0.7881291,4
-0.96697235,-1.0529844,2.0241187,-0.26610932,-1.1523913,-0.9384408,-0.7330974,4
-0.9457281,-1.0453231,2.0241168,-0.2647025,-1.1328543,-0.9114322,-0.72411007,4
